word_1,def_1-1,def_1-2,def_1-3,def_1-4,def_1-5,def_1-6,def_1-7,word_2,def_2-1,def_2-2,def_2-3,def_2-4,def_2-5,def_2-6,def_2-7
mincing,"<crowd-radio-button name="def_1-0" value="def_1-0">make less severe or harsh</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">walk daintily</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">cut into small pieces</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">affectedly dainty or refined</crowd-radio-button>",o,o,o,mince,"<crowd-radio-button name="def_2-0" value="def_2-0">food chopped into small bits</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">make less severe or harsh</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">walk daintily</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">cut into small pieces</crowd-radio-button>",o,o,o
highlighting,"<crowd-radio-button name="def_1-0" value="def_1-0">an area of lightness in a picture</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">move into the foreground to make more visible or prominent</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">apply a highlighter to one's cheeks or eyebrows in order to make them more prominent</crowd-radio-button>",o,o,o,o,hair,"<crowd-radio-button name="def_2-0" value="def_2-0">a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a very small distance or space</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">filamentous hairlike growth on a plant</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">any of the cylindrical filaments characteristically growing from the epidermis of a mammal</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">cloth woven from horsehair or camelhair; used for upholstery or stiffening in garments</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">a filamentous projection or process on an organism</crowd-radio-button>",o
agreeable,"<crowd-radio-button name="def_1-0" value="def_1-0">conforming to your own liking or feelings or nature; ; ; - Disraeli</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">in keeping</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">prepared to agree or consent</crowd-radio-button>",o,o,o,o,conformable,"<crowd-radio-button name="def_2-0" value="def_2-0">quick to comply; -Shakespeare</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">disposed or willing to comply</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">in keeping</crowd-radio-button>",o,o,o,o
peeped,"<crowd-radio-button name="def_1-0" value="def_1-0">look furtively</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">cause to appear</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">make high-pitched sounds</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">speak in a hesitant and high-pitched tone of voice</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">appear as though from hiding</crowd-radio-button>",o,o,peep,"<crowd-radio-button name="def_2-0" value="def_2-0">the short weak cry of a young bird</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a secret look</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">look furtively</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">cause to appear</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">make high-pitched sounds</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">speak in a hesitant and high-pitched tone of voice</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">appear as though from hiding</crowd-radio-button>"
invocation,"<crowd-radio-button name="def_1-0" value="def_1-0">a prayer asking God's help as part of a religious service</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">an incantation used in conjuring or summoning a devil</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">calling up a spirit or devil</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">the act of appealing for help</crowd-radio-button>",o,o,o,programming,"<crowd-radio-button name="def_2-0" value="def_2-0">setting an order and time for planned events</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">creating a sequence of instructions to enable the computer to do something</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">arrange a program of or for</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">write a computer program</crowd-radio-button>",o,o,o
repulsive,"<crowd-radio-button name="def_1-0" value="def_1-0">offensive to the mind</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">possessing the ability to repel</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">so extremely ugly as to be terrifying</crowd-radio-button>",o,o,o,o,forbidding,"<crowd-radio-button name="def_2-0" value="def_2-0">an official prohibition or edict against something</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">command against</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">keep from happening or arising; make impossible</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">harshly uninviting or formidable in manner or appearance; ; ; ; - J.M.Barrie</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">threatening or foreshadowing evil or tragic developments</crowd-radio-button>",o,o
clinking,"<crowd-radio-button name="def_1-0" value="def_1-0">make a high sound typical of glass</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">make or emit a high sound</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">like the light sharp ringing sound of glasses being tapped</crowd-radio-button>",o,o,o,o,clink,"<crowd-radio-button name="def_2-0" value="def_2-0">a short light metallic sound</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence)</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">make a high sound typical of glass</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">make or emit a high sound</crowd-radio-button>",o,o,o
gate,"<crowd-radio-button name="def_1-0" value="def_1-0">a movable barrier in a fence or wall</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a computer circuit with several inputs but only one output that can be activated by particular combinations of inputs</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">total admission receipts at a sports event</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">passageway (as in an air terminal) where passengers can embark or disembark</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">supply with a gate</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">control with a valve or other device that functions like a gate</crowd-radio-button>","<crowd-radio-button name="def_1-6" value="def_1-6">restrict (school boys') movement to the dormitory or campus as a means of punishment</crowd-radio-button>",mechanism,"<crowd-radio-button name="def_2-0" value="def_2-0">the atomic process that occurs during a chemical reaction</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the technical aspects of doing something</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a natural object resembling a machine in structure or function</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">(philosophy) the philosophical theory that all phenomena can be explained in terms of physical or biological causes</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">device consisting of a piece of machinery; has moving parts that perform some function</crowd-radio-button>",o,o
refractory,"<crowd-radio-button name="def_1-0" value="def_1-0">lining consisting of material with a high melting point; used to line the inside walls of a furnace</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">not responding to treatment</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">temporarily unresponsive or not fully responsive to nervous or sexual stimuli</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">stubbornly resistant to authority or control</crowd-radio-button>",o,o,o,unruly,"<crowd-radio-button name="def_2-0" value="def_2-0">noisy and lacking in restraint or discipline</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">unwilling to submit to authority</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">of persons</crowd-radio-button>",o,o,o,o
hisses,"<crowd-radio-button name="def_1-0" value="def_1-0">a fricative sound (especially as an expression of disapproval)</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a cry or noise made to express displeasure or contempt</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">make a sharp hissing sound, as if to show disapproval</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">move with a whooshing sound</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">express or utter with a hiss</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">show displeasure, as after a performance or speech</crowd-radio-button>",o,iron,"<crowd-radio-button name="def_2-0" value="def_2-0">a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a golf club that has a relatively narrow metal head</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">implement used to brand live stock</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">home appliance consisting of a flat metal base that is heated and used to smooth cloth</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">press and smooth with a heated iron</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">extremely robust</crowd-radio-button>",o
attenuate,"<crowd-radio-button name="def_1-0" value="def_1-0">weaken the consistency of (a chemical substance)</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">become weaker, in strength, value, or magnitude</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">reduced in strength</crowd-radio-button>",o,o,o,o,attenuated,"<crowd-radio-button name="def_2-0" value="def_2-0">weaken the consistency of (a chemical substance)</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">become weaker, in strength, value, or magnitude</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">of an electrical signal; reduced in amplitude with little or no distortion</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">reduced in strength</crowd-radio-button>",o,o,o
effuse,"<crowd-radio-button name="def_1-0" value="def_1-0">pour out</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">flow or spill forth</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">give out or emit (also metaphorically)</crowd-radio-button>",o,o,o,o,pour,"<crowd-radio-button name="def_2-0" value="def_2-0">cause to run</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">move in large numbers</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">pour out</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">flow in a spurt</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">supply in large amounts or quantities</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">rain heavily</crowd-radio-button>",o
stargazer,"<crowd-radio-button name="def_1-0" value="def_1-0">someone indifferent to the busy world</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a physicist who studies astronomy</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">heavy-bodied marine bottom-lurkers with eyes on flattened top of the head</crowd-radio-button>",o,o,o,o,fish,"<crowd-radio-button name="def_2-0" value="def_2-0">any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the flesh of fish used as food</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">(astrology) a person who is born while the sun is in Pisces</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">the twelfth sign of the zodiac; the sun is in this sign from about February 19 to March 20</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">seek indirectly</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">catch or try to catch fish or shellfish</crowd-radio-button>",o
versed,"<crowd-radio-button name="def_1-0" value="def_1-0">an injectable form of benzodiazepine (trade name Versed) useful for sedation and for reducing pain during uncomfortable medical procedures</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">compose verses or put into verse</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">familiarize through thorough study or experience</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">thoroughly acquainted through study or experience; -W.H.Hudson; - Herbert Read</crowd-radio-button>",o,o,o,experienced,"<crowd-radio-button name="def_2-0" value="def_2-0">go or live through</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">have firsthand knowledge of states, situations, emotions, or sensations</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">go through (mental or physical states or experiences)</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">undergo an emotional sensation or be in a particular state of mind</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">undergo</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">having experience; having knowledge or skill from observation or participation</crowd-radio-button>",o
disagreement,"<crowd-radio-button name="def_1-0" value="def_1-0">a conflict of people's opinions or actions or characters</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a difference between conflicting facts or claims or opinions</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">the speech act of disagreeing or arguing or disputing</crowd-radio-button>",o,o,o,o,agreeing,"<crowd-radio-button name="def_2-0" value="def_2-0">be in accord; be in agreement</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">consent or assent to a condition, or agree to do something</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">be compatible, similar or consistent; coincide in their characteristics</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">go together</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">show grammatical agreement</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">be agreeable or suitable</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">achieve harmony of opinion, feeling, or purpose</crowd-radio-button>"
plantation,"<crowd-radio-button name="def_1-0" value="def_1-0">an estate where cash crops are grown on a large scale (especially in tropical areas)</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a newly established colony (especially in the colonization of North America)</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">garden consisting of a small cultivated wood without undergrowth</crowd-radio-button>",o,o,o,o,estate,"<crowd-radio-button name="def_2-0" value="def_2-0">everything you own; all of your assets (whether real property or personal property) and liabilities</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">extensive landed property (especially in the country) retained by the owner for his own use</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a major social class or order of persons regarded collectively as part of the body politic of the country (especially in the United Kingdom) and formerly possessing distinct political rights</crowd-radio-button>",o,o,o,o
heft,"<crowd-radio-button name="def_1-0" value="def_1-0">the property of being large in mass</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">lift or elevate</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">test the weight of something by lifting it</crowd-radio-button>",o,o,o,o,bulk,"<crowd-radio-button name="def_2-0" value="def_2-0">the property resulting from being or relating to the greater in number of two parts; the main part</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the property of something that is great in magnitude</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">the property possessed by a large mass</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">stick out or up</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">cause to bulge or swell outwards</crowd-radio-button>",o,o
vas,"<crowd-radio-button name="def_1-0" value="def_1-0">a tube in which a body fluid circulates</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a state in the eastern United States; one of the original 13 colonies; one of the Confederate States in the American Civil War</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">the United States federal department responsible for the interests of military veterans; created in 1989</crowd-radio-button>",o,o,o,o,blood,"<crowd-radio-button name="def_2-0" value="def_2-0">the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">temperament or disposition</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a dissolute man in fashionable society</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">the descendants of one individual</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">people viewed as members of a group</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">smear with blood, as in a hunting initiation rite, where the face of a person is smeared with the blood of the kill</crowd-radio-button>",o
diligence,"<crowd-radio-button name="def_1-0" value="def_1-0">conscientiousness in paying proper attention to a task; giving the degree of care required in a given situation</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">persevering determination to perform a task</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">a diligent effort</crowd-radio-button>",o,o,o,o,debt,"<crowd-radio-button name="def_2-0" value="def_2-0">the state of owing something (especially money)</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">money or goods or services owed by one person to another</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">an obligation to pay or do something</crowd-radio-button>",o,o,o,o
george,"<crowd-radio-button name="def_1-0" value="def_1-0">Christian martyr; patron saint of England; hero of the legend of Saint George and the Dragon in which he slew a dragon and saved a princess (?-303)</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">King of Great Britain and Ireland and emperor of India from 1936 to 1947; he succeeded Edward VIII (1895-1952)</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">King of Great Britain and Ireland and emperor of India from 1910 to 1936; gave up his German title in 1917 during World War I (1865-1936)</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">King of Great Britain and Ireland and Hanover from 1820 to 1830; his attempt to divorce his estranged wife undermined the prestige of the Crown (1762-1830)</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">King of Great Britain and Ireland from 1760 to 1820; the American colonies were lost during his reign; he became insane in 1811 and his son (later George IV) acted as regent until 1820 (1738-1820)</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">King of Great Britain and Elector of Hanover from 1727 to 1760 (1683-1760)</crowd-radio-button>","<crowd-radio-button name="def_1-6" value="def_1-6">Elector of Hanover and the first Hanoverian King of Great Britain and Ireland from 1714 to 1727 (1660-1727)</crowd-radio-button>",georgia,"<crowd-radio-button name="def_2-0" value="def_2-0">a state in southeastern United States; one of the Confederate states during the American Civil War</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">one of the British colonies that formed the United States</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a republic in Asia Minor on the Black Sea separated from Russia by the Caucasus mountains; formerly an Asian soviet but became independent in 1991</crowd-radio-button>",o,o,o,o
callus,"<crowd-radio-button name="def_1-0" value="def_1-0">an area of skin that is thick or hard from continual pressure or friction (as the sole of the foot)</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">bony tissue formed during the healing of a fractured bone</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">(botany) an isolated thickening of tissue, especially a stiff protuberance on the lip of an orchid</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">cause a callus to form on</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">form a callus or calluses</crowd-radio-button>",o,o,harden,"<crowd-radio-button name="def_2-0" value="def_2-0">become hard or harder</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">make hard or harder</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">harden by reheating and cooling in oil</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">make fit</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">cause to accept or become hardened to; habituate</crowd-radio-button>",o,o
gulf,"<crowd-radio-button name="def_1-0" value="def_1-0">an arm of a sea or ocean partly enclosed by land; larger than a bay</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">an unbridgeable disparity (as from a failure of understanding)</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">a deep wide chasm</crowd-radio-button>",o,o,o,o,eddy,"<crowd-radio-button name="def_2-0" value="def_2-0">founder of Christian Science in 1866 (1821-1910)</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a miniature whirlpool or whirlwind resulting when the current of a fluid doubles back on itself</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">flow in a circular current, of liquids</crowd-radio-button>",o,o,o,o
deadness,"<crowd-radio-button name="def_1-0" value="def_1-0">the quality of being unresponsive; not reacting; as a quality of people, it is marked by a failure to respond quickly or with emotion to people or events</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">the physical property of something that has lost its elasticity</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">the inanimate property of something that has died</crowd-radio-button>",o,o,o,o,alive,"<crowd-radio-button name="def_2-0" value="def_2-0">possessing life</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">(often followed by `with') full of life and spirit</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">having life or vigor or spirit</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">(followed by `to' or `of') aware of</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">in operation</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">mentally perceptive and responsive</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">capable of erupting</crowd-radio-button>"
repudiate,"<crowd-radio-button name="def_1-0" value="def_1-0">cast off</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">refuse to acknowledge, ratify, or recognize as valid</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">refuse to recognize or pay</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">reject as untrue, unfounded, or unjust</crowd-radio-button>",o,o,o,deny,"<crowd-radio-button name="def_2-0" value="def_2-0">declare untrue; contradict</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">refuse to accept or believe</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">refuse to grant, as of a petition or request</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">refuse to let have</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">deny oneself (something); restrain, especially from indulging in some pleasure</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">deny formally (an allegation of fact by the opposing party) in a legal suit</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">refuse to recognize or acknowledge</crowd-radio-button>"
banishing,"<crowd-radio-button name="def_1-0" value="def_1-0">expel from a community or group</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">ban from a place of residence, as for punishment</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">expel, as if by official decree</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">drive away</crowd-radio-button>",o,o,o,ousting,"<crowd-radio-button name="def_2-0" value="def_2-0">the act of ejecting someone or forcing them out</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">remove from a position or office</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">remove and replace</crowd-radio-button>",o,o,o,o
condescension,"<crowd-radio-button name="def_1-0" value="def_1-0">the trait of displaying arrogance by patronizing those considered inferior</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a communication that indicates lack of respect by patronizing the recipient</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">affability to your inferiors and temporary disregard for differences of position or rank</crowd-radio-button>",o,o,o,o,patronizing,"<crowd-radio-button name="def_2-0" value="def_2-0">assume sponsorship of</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">do one's shopping at; do business with; be a customer or client of</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">treat condescendingly</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">be a regular customer or client of</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">(used of behavior or attitude) characteristic of those who treat others with condescension</crowd-radio-button>",o,o
evade,"<crowd-radio-button name="def_1-0" value="def_1-0">avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">escape, either physically or mentally</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">practice evasion</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">use cunning or deceit to escape or avoid</crowd-radio-button>",o,o,o,hedge,"<crowd-radio-button name="def_2-0" value="def_2-0">a fence formed by a row of closely planted shrubs or bushes</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">any technique designed to reduce or eliminate financial risk; for example, taking two positions that will offset each other if prices change</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">an intentionally noncommittal or ambiguous statement</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">hinder or restrict with or as if with a hedge</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">enclose or bound in with or as it with a hedge or hedges</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">minimize loss or risk</crowd-radio-button>"
cyclic,"<crowd-radio-button name="def_1-0" value="def_1-0">conforming to the Carnot cycle</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">forming a whorl or having parts arranged in a whorl</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">of a compound having atoms arranged in a ring structure</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">recurring in cycles</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">marked by repeated cycles</crowd-radio-button>",o,o,interval,"<crowd-radio-button name="def_2-0" value="def_2-0">a definite length of time marked off by two instants</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a set containing all points (or all real numbers) between two given endpoints</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">the distance between things</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">the difference in pitch between two notes</crowd-radio-button>",o,o,o
hopelessly,"<crowd-radio-button name="def_1-0" value="def_1-0">in a hopeless manner</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">in a dispirited manner without hope</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">without hope; desperate because there seems no possibility of comfort or success</crowd-radio-button>",o,o,o,o,despair,"<crowd-radio-button name="def_2-0" value="def_2-0">a state in which all hope is lost or absent</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the feeling that everything is wrong and nothing will turn out well</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">abandon hope; give up hope; lose heart</crowd-radio-button>",o,o,o,o
