word_1,def_1-1,qual_1-1_start,qual_1-1_end,def_1-2,qual_1-2_start,qual_1-2_end,def_1-3,qual_1-3_start,qual_1-3_end,def_1-4,qual_1-4_start,qual_1-4_end,def_1-5,qual_1-5_start,qual_1-5_end,def_1-6,qual_1-6_start,qual_1-6_end,def_1-7,qual_1-7_start,qual_1-7_end,word_2,def_2-1,qual_2-1_start,qual_2-1_end,def_2-2,qual_2-2_start,qual_2-2_end,def_2-3,qual_2-3_start,qual_2-3_end,def_2-4,qual_2-4_start,qual_2-4_end,def_2-5,qual_2-5_start,qual_2-5_end,def_2-6,qual_2-6_start,qual_2-6_end,def_2-7,qual_2-7_start,qual_2-7_end,relationship
gate,"a movable barrier in a fence or wall",,,"a computer circuit with several inputs but only one output that can be activated by particular combinations of inputs",,,"total admission receipts at a sports event",,,"passageway (as in an air terminal) where passengers can embark or disembark",,,"supply with a gate",,,"control with a valve or other device that functions like a gate",,,"restrict (school boys') movement to the dormitory or campus as a means of punishment",,,mechanism,"the atomic process that occurs during a chemical reaction",,,"the technical aspects of doing something",,,"a natural object resembling a machine in structure or function",,,"(philosophy) the philosophical theory that all phenomena can be explained in terms of physical or biological causes",,,"device consisting of a piece of machinery; has moving parts that perform some function",,,,<!--,-->,,<!--,-->,RelatedTo
refractory,"lining consisting of material with a high melting point; used to line the inside walls of a furnace",,,"not responding to treatment",,,"temporarily unresponsive or not fully responsive to nervous or sexual stimuli",,,"stubbornly resistant to authority or control",,,,<!--,-->,,<!--,-->,,<!--,-->,unruly,"noisy and lacking in restraint or discipline",,,"unwilling to submit to authority",,,"of persons",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
hisses,"a fricative sound (especially as an expression of disapproval)",,,"a cry or noise made to express displeasure or contempt",,,"make a sharp hissing sound, as if to show disapproval",,,"move with a whooshing sound",,,"express or utter with a hiss",,,"show displeasure, as after a performance or speech",,,,<!--,-->,iron,"a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood",,,"a golf club that has a relatively narrow metal head",,,"implement used to brand live stock",,,"home appliance consisting of a flat metal base that is heated and used to smooth cloth",,,"press and smooth with a heated iron",,,"extremely robust",,,,<!--,-->,RelatedTo
attenuate,"weaken the consistency of (a chemical substance)",,,"become weaker, in strength, value, or magnitude",,,"reduced in strength",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,attenuated,"weaken the consistency of (a chemical substance)",,,"become weaker, in strength, value, or magnitude",,,"of an electrical signal; reduced in amplitude with little or no distortion",,,"reduced in strength",,,,<!--,-->,,<!--,-->,,<!--,-->,Synonym
effuse,"pour out",,,"flow or spill forth",,,"give out or emit (also metaphorically)",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,pour,"cause to run",,,"move in large numbers",,,"pour out",,,"flow in a spurt",,,"supply in large amounts or quantities",,,"rain heavily",,,,<!--,-->,MannerOf
stargazer,"someone indifferent to the busy world",,,"a physicist who studies astronomy",,,"heavy-bodied marine bottom-lurkers with eyes on flattened top of the head",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,fish,"any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills",,,"the flesh of fish used as food",,,"(astrology) a person who is born while the sun is in Pisces",,,"the twelfth sign of the zodiac; the sun is in this sign from about February 19 to March 20",,,"seek indirectly",,,"catch or try to catch fish or shellfish",,,,<!--,-->,RelatedTo
versed,"an injectable form of benzodiazepine (trade name Versed) useful for sedation and for reducing pain during uncomfortable medical procedures",,,"compose verses or put into verse",,,"familiarize through thorough study or experience",,,"thoroughly acquainted through study or experience; -W.H.Hudson; - Herbert Read",,,,<!--,-->,,<!--,-->,,<!--,-->,experienced,"go or live through",,,"have firsthand knowledge of states, situations, emotions, or sensations",,,"go through (mental or physical states or experiences)",,,"undergo an emotional sensation or be in a particular state of mind",,,"undergo",,,"having experience; having knowledge or skill from observation or participation",,,,<!--,-->,SimilarTo
disagreement,"a conflict of people's opinions or actions or characters",,,"a difference between conflicting facts or claims or opinions",,,"the speech act of disagreeing or arguing or disputing",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,agreeing,"be in accord; be in agreement",,,"consent or assent to a condition, or agree to do something",,,"be compatible, similar or consistent; coincide in their characteristics",,,"go together",,,"show grammatical agreement",,,"be agreeable or suitable",,,"achieve harmony of opinion, feeling, or purpose",,,RelatedTo
plantation,"an estate where cash crops are grown on a large scale (especially in tropical areas)",,,"a newly established colony (especially in the colonization of North America)",,,"garden consisting of a small cultivated wood without undergrowth",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,estate,"everything you own; all of your assets (whether real property or personal property) and liabilities",,,"extensive landed property (especially in the country) retained by the owner for his own use",,,"a major social class or order of persons regarded collectively as part of the body politic of the country (especially in the United Kingdom) and formerly possessing distinct political rights",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,IsA
heft,"the property of being large in mass",,,"lift or elevate",,,"test the weight of something by lifting it",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,bulk,"the property resulting from being or relating to the greater in number of two parts; the main part",,,"the property of something that is great in magnitude",,,"the property possessed by a large mass",,,"stick out or up",,,"cause to bulge or swell outwards",,,,<!--,-->,,<!--,-->,RelatedTo
vas,"a tube in which a body fluid circulates",,,"a state in the eastern United States; one of the original 13 colonies; one of the Confederate States in the American Civil War",,,"the United States federal department responsible for the interests of military veterans; created in 1989",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,blood,"the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets",,,"temperament or disposition",,,"a dissolute man in fashionable society",,,"the descendants of one individual",,,"people viewed as members of a group",,,"smear with blood, as in a hunting initiation rite, where the face of a person is smeared with the blood of the kill",,,,<!--,-->,RelatedTo
diligence,"conscientiousness in paying proper attention to a task; giving the degree of care required in a given situation",,,"persevering determination to perform a task",,,"a diligent effort",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,debt,"the state of owing something (especially money)",,,"money or goods or services owed by one person to another",,,"an obligation to pay or do something",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
george,"Christian martyr; patron saint of England; hero of the legend of Saint George and the Dragon in which he slew a dragon and saved a princess (?-303)",,,"King of Great Britain and Ireland and emperor of India from 1936 to 1947; he succeeded Edward VIII (1895-1952)",,,"King of Great Britain and Ireland and emperor of India from 1910 to 1936; gave up his German title in 1917 during World War I (1865-1936)",,,"King of Great Britain and Ireland and Hanover from 1820 to 1830; his attempt to divorce his estranged wife undermined the prestige of the Crown (1762-1830)",,,"King of Great Britain and Ireland from 1760 to 1820; the American colonies were lost during his reign; he became insane in 1811 and his son (later George IV) acted as regent until 1820 (1738-1820)",,,"King of Great Britain and Elector of Hanover from 1727 to 1760 (1683-1760)",,,"Elector of Hanover and the first Hanoverian King of Great Britain and Ireland from 1714 to 1727 (1660-1727)",,,georgia,"a state in southeastern United States; one of the Confederate states during the American Civil War",,,"one of the British colonies that formed the United States",,,"a republic in Asia Minor on the Black Sea separated from Russia by the Caucasus mountains; formerly an Asian soviet but became independent in 1991",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
callus,"an area of skin that is thick or hard from continual pressure or friction (as the sole of the foot)",,,"bony tissue formed during the healing of a fractured bone",,,"(botany) an isolated thickening of tissue, especially a stiff protuberance on the lip of an orchid",,,"cause a callus to form on",,,"form a callus or calluses",,,,<!--,-->,,<!--,-->,harden,"become hard or harder",,,"make hard or harder",,,"harden by reheating and cooling in oil",,,"make fit",,,"cause to accept or become hardened to; habituate",,,,<!--,-->,,<!--,-->,MannerOf
gulf,"an arm of a sea or ocean partly enclosed by land; larger than a bay",,,"an unbridgeable disparity (as from a failure of understanding)",,,"a deep wide chasm",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,eddy,"founder of Christian Science in 1866 (1821-1910)",,,"a miniature whirlpool or whirlwind resulting when the current of a fluid doubles back on itself",,,"flow in a circular current, of liquids",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
deadness,"the quality of being unresponsive; not reacting; as a quality of people, it is marked by a failure to respond quickly or with emotion to people or events",,,"the physical property of something that has lost its elasticity",,,"the inanimate property of something that has died",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,alive,"possessing life",,,"(often followed by `with') full of life and spirit",,,"having life or vigor or spirit",,,"(followed by `to' or `of') aware of",,,"in operation",,,"mentally perceptive and responsive",,,"capable of erupting",,,RelatedTo
repudiate,"cast off",,,"refuse to acknowledge, ratify, or recognize as valid",,,"refuse to recognize or pay",,,"reject as untrue, unfounded, or unjust",,,,<!--,-->,,<!--,-->,,<!--,-->,deny,"declare untrue; contradict",,,"refuse to accept or believe",,,"refuse to grant, as of a petition or request",,,"refuse to let have",,,"deny oneself (something); restrain, especially from indulging in some pleasure",,,"deny formally (an allegation of fact by the opposing party) in a legal suit",,,"refuse to recognize or acknowledge",,,MannerOf
banishing,"expel from a community or group",,,"ban from a place of residence, as for punishment",,,"expel, as if by official decree",,,"drive away",,,,<!--,-->,,<!--,-->,,<!--,-->,ousting,"the act of ejecting someone or forcing them out",,,"remove from a position or office",,,"remove and replace",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,IsA
condescension,"the trait of displaying arrogance by patronizing those considered inferior",,,"a communication that indicates lack of respect by patronizing the recipient",,,"affability to your inferiors and temporary disregard for differences of position or rank",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,patronizing,"assume sponsorship of",,,"do one's shopping at; do business with; be a customer or client of",,,"treat condescendingly",,,"be a regular customer or client of",,,"(used of behavior or attitude) characteristic of those who treat others with condescension",,,,<!--,-->,,<!--,-->,RelatedTo
evade,"avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)",,,"escape, either physically or mentally",,,"practice evasion",,,"use cunning or deceit to escape or avoid",,,,<!--,-->,,<!--,-->,,<!--,-->,hedge,"a fence formed by a row of closely planted shrubs or bushes",,,"any technique designed to reduce or eliminate financial risk; for example, taking two positions that will offset each other if prices change",,,"an intentionally noncommittal or ambiguous statement",,,"avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)",,,"hinder or restrict with or as if with a hedge",,,"enclose or bound in with or as it with a hedge or hedges",,,"minimize loss or risk",,,Synonym
cyclic,"conforming to the Carnot cycle",,,"forming a whorl or having parts arranged in a whorl",,,"of a compound having atoms arranged in a ring structure",,,"recurring in cycles",,,"marked by repeated cycles",,,,<!--,-->,,<!--,-->,interval,"a definite length of time marked off by two instants",,,"a set containing all points (or all real numbers) between two given endpoints",,,"the distance between things",,,"the difference in pitch between two notes",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
hopelessly,"in a hopeless manner",,,"in a dispirited manner without hope",,,"without hope; desperate because there seems no possibility of comfort or success",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,despair,"a state in which all hope is lost or absent",,,"the feeling that everything is wrong and nothing will turn out well",,,"abandon hope; give up hope; lose heart",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
annoyed,"cause annoyance in; disturb, especially by minor irritations",,,"aroused to impatience or anger",,,"troubled persistently especially with petty annoyances",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,bothered,"take the trouble to do something; concern oneself",,,"cause annoyance in; disturb, especially by minor irritations",,,"to cause inconvenience or discomfort to",,,"intrude or enter uninvited",,,"make nervous or agitated",,,"make confused or perplexed or puzzled",,,"caused to show discomposure",,,Synonym
canonized,"declare (a dead person) to be a saint",,,"treat as a sacred person",,,"accorded sacrosanct or authoritative standing",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,canon,"a rule or especially body of rules or principles generally established as valid and fundamental in a field or art or philosophy",,,"a priest who is a member of a cathedral chapter",,,"a ravine formed by a river in an area with little rainfall",,,"a contrapuntal piece of music in which a melody in one part is imitated exactly in other parts",,,"a complete list of saints that have been recognized by the Roman Catholic Church",,,"a collection of books accepted as holy scripture especially the books of the Bible recognized by any Christian church as genuine and inspired",,,,<!--,-->,RelatedTo
tusk,"a hard smooth ivory colored dentine that makes up most of the tusks of elephants and walruses",,,"a long pointed tooth specialized for fighting or digging; especially in an elephant or walrus or hog",,,"stab or pierce with a horn or tusk",,,"remove the tusks of animals",,,,<!--,-->,,<!--,-->,,<!--,-->,scaring,"cause fear in",,,"cause to lose courage",,,"mark with a scar",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
unwitting,"not done with purpose or intent",,,"not aware or knowing",,,"unaware because of a lack of relevant information or knowledge",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,wit,"a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter",,,"mental ability",,,"a witty amusing person who makes jokes",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
junior,"term of address for a disrespectful and annoying male",,,"a third-year undergraduate",,,"the younger of two persons",,,"a son who has the same first name as his father",,,"younger; lower in rank; shorter in length of tenure or service",,,"used of the third or next to final year in United States high school or college",,,"including or intended for youthful persons",,,subordinate,"an assistant subject to the authority or control of another",,,"a word that is more specific than a given word",,,"rank or order as less important or consider of less value",,,"make subordinate, dependent, or subservient",,,"lower in rank or importance",,,"subject or submissive to authority or the control of another",,,"(of a clause) unable to stand alone syntactically as a complete sentence",,,RelatedTo
encroachment,"any entry into an area not previously occupied",,,"entry to another's property without right or permission",,,"influencing strongly",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,diminution,"change toward something smaller or lower",,,"the statement of a theme in notes of lesser duration (usually half the length of the original)",,,"the act of decreasing or reducing something",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
firmly,"with resolute determination",,,"in a secure manner; in a manner free from danger",,,"with firmness",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,securely,"in a secure manner; in a manner free from danger",,,"in a confident and unselfconscious manner",,,"in a manner free from fear or risk",,,"in an invulnerable manner",,,,<!--,-->,,<!--,-->,,<!--,-->,Synonym
berthing,"provide with a berth",,,"secure in or as if in a berth or dock",,,"come into or dock at a wharf",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,berth,"a job in an organization",,,"a place where a craft can be made fast",,,"a bed on a ship or train; usually in tiers",,,"provide with a berth",,,"secure in or as if in a berth or dock",,,"come into or dock at a wharf",,,,<!--,-->,RelatedTo
intake,"the process of taking food into the body through the mouth (as by eating)",,,"an opening through which fluid is admitted to a tube or container",,,"the act of inhaling; the drawing in of air (or other gases) as in breathing",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,fluid,"a substance that is fluid at room temperature and pressure",,,"continuous amorphous matter that tends to flow and to conform to the outline of its container: a liquid or a gas",,,"subject to change; variable",,,"characteristic of a fluid; capable of flowing and easily changing shape",,,"smooth and unconstrained in movement",,,"in cash or easily convertible to cash",,,"affording change (especially in social status)",,,RelatedTo
besieging,"the action of an armed force that surrounds a fortified place and isolates it while continuing to attack",,,"surround so as to force to give up",,,"cause to feel distressed or worried",,,"harass, as with questions or requests",,,,<!--,-->,,<!--,-->,,<!--,-->,besiege,"surround so as to force to give up",,,"cause to feel distressed or worried",,,"harass, as with questions or requests",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
preferences,"a strong liking",,,"a predisposition in favor of something",,,"the right or chance to choose",,,"grant of favor or advantage to one over another (especially to a country or countries in matters of international trade, such as levying duties)",,,,<!--,-->,,<!--,-->,,<!--,-->,user,"a person who makes use of a thing; someone who uses or employs something",,,"a person who uses something or someone selfishly or unethically",,,"a person who takes drugs",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
afoot,"traveling by foot",,,"currently in progress",,,"on foot; walking",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,progress,"gradual improvement or growth or development",,,"the act of moving forward (as toward a goal)",,,"a movement forward",,,"develop in a positive way",,,"move forward, also in the metaphorical sense",,,"form or accumulate steadily",,,,<!--,-->,RelatedTo
inflexible,"incapable of change",,,"not making concessions",,,"resistant to being bent",,,"incapable of adapting or changing to meet circumstances",,,,<!--,-->,,<!--,-->,,<!--,-->,unbending,"straighten up or out; make straight",,,"unfasten, as a sail, from a spar or a stay",,,"free from flexure",,,"make less taut",,,"become less tense, rest, or take one's ease",,,"release from mental strain, tension, or formality",,,"incapable of adapting or changing to meet circumstances",,,Synonym
mute,"a deaf person who is unable to speak",,,"a device used to soften the tone of a musical instrument",,,"deaden (a sound or noise), especially by wrapping",,,"expressed without speech; ; ; - Emily Dickinson; ; ; - Thomas Wolfe",,,"unable to speak because of hereditary deafness",,,,<!--,-->,,<!--,-->,muffle,"a kiln with an inner chamber for firing things at a low temperature",,,"conceal or hide",,,"deaden (a sound or noise), especially by wrapping",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,Synonym
irony,"witty language used to convey insults or scorn; ; ; --Jonathan Swift",,,"incongruity between what might be expected and what actually occurs",,,"a trope that involves incongruity between what is expected and what occurs",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,theatrical,"a performance of a play",,,"of or relating to the theater",,,"suited to or characteristic of the stage or theater",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
script,"a written version of a play or other dramatic composition; used in preparing for a performance",,,"something written by hand",,,"a particular orthography or writing system",,,"write a script for",,,,<!--,-->,,<!--,-->,,<!--,-->,original,"an original creation (i.e., an audio recording) from which copies can be made",,,"something that serves as a model or a basis for making copies",,,"preceding all others in time or being as first made or performed",,,"(of e.g. information) not secondhand or by way of something intermediary",,,"being or productive of something fresh and unusual; or being as first made or thought of",,,"not derived or copied or translated from something else",,,,<!--,-->,RelatedTo
oil,"a slippery or viscous liquid or liquefiable substance not miscible with water",,,"oil paint containing pigment that is used by an artist",,,"a dark oil consisting mainly of hydrocarbons",,,"any of a group of liquid edible fats that are obtained from plants",,,"cover with oil, as if by rubbing",,,"administer an oil or ointment to ; often in a religious ceremony of blessing",,,,<!--,-->,slickness,"verbal misrepresentation intended to take advantage of you in some way",,,"a kind of fluent easy superficiality",,,"a slippery smoothness",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
fang,"a Bantu language spoken in Cameroon",,,"an appendage of insects that is capable of injecting venom; usually evolved from the legs",,,"canine tooth of a carnivorous animal; used to seize and tear its prey",,,"hollow or grooved tooth of a venomous snake; used to inject its poison",,,,<!--,-->,,<!--,-->,,<!--,-->,noose,"a trap for birds or small mammals; often has a slip noose",,,"a loop formed in a cord or rope by means of a slipknot; it binds tighter as the cord or rope is pulled",,,"make a noose in or of",,,"secure with a noose",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
irruption,"a sudden violent entrance; a bursting in",,,"a sudden sharp increase in the relative numbers of a population",,,"a sudden violent spontaneous occurrence (usually of some undesirable condition)",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,abrupt,"marked by sudden changes in subject and sharp transitions",,,"exceedingly sudden and unexpected",,,"extremely steep",,,"surprisingly and unceremoniously brusque in manner",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
wax,"any of various substances of either mineral origin or plant or animal origin; they are solid at normal temperatures and insoluble in water",,,"cover with wax",,,"go up or advance",,,"increase in phase",,,,<!--,-->,,<!--,-->,,<!--,-->,creates,"make or cause to be or to become",,,"bring into existence",,,"pursue a creative activity; be engaged in a creative activity",,,"invest with a new title, office, or rank",,,"create by artistic means",,,"create or manufacture a man-made product",,,,<!--,-->,RelatedTo
blowout,"an easy victory",,,"a sudden malfunction of a part or apparatus",,,"a gay festivity",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,extreme,"the furthest or highest degree of something",,,"the point located farthest from the middle of something",,,"of the greatest possible degree or extent or intensity",,,"far beyond a norm in quantity or amount or degree; to an utmost degree",,,"beyond a norm in views or actions",,,"most distant in any direction",,,,<!--,-->,RelatedTo
gravity,"(physics) the force of attraction between all masses in the universe; especially the attraction of the earth's mass for bodies near its surface; ; ; --Albert Einstein",,,"a manner that is serious and solemn",,,"a solemn and dignified feeling",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,heaviness,"the property of being comparatively great in weight",,,"persisting sadness",,,"an oppressive quality that is laborious and solemn and lacks grace or fluency",,,"used of a line or mark",,,"unwelcome burdensome difficulty",,,,<!--,-->,,<!--,-->,RelatedTo
people,"(plural) any group of human beings (men or women or children) collectively",,,"the body of citizens of a state or country",,,"members of a family line",,,"the common people generally",,,"fill with people",,,"furnish with people",,,,<!--,-->,clerks,"an employee who performs clerical work (e.g., keeps records or accounts)",,,"a salesperson in a store",,,"work as a clerk, as in the legal business",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,IsA
deny,"declare untrue; contradict",,,"refuse to accept or believe",,,"refuse to grant, as of a petition or request",,,"refuse to let have",,,"deny oneself (something); restrain, especially from indulging in some pleasure",,,"deny formally (an allegation of fact by the opposing party) in a legal suit",,,"refuse to recognize or acknowledge",,,traverse,"a horizontal beam that extends across something",,,"a horizontal crosspiece across a window or separating a door from a window over it",,,"taking a zigzag path on skis",,,"travel across",,,"travel across or pass over",,,"to cover or extend over an area or time period; ,",,,"deny formally (an allegation of fact by the opposing party) in a legal suit",,,Synonym
premier,"the person who holds the position of head of the government in the United Kingdom",,,"the person who is head of state (in several countries)",,,"be performed for the first time",,,"perform a work for the first time",,,"first in rank or degree",,,"preceding all others in time",,,,<!--,-->,slang,"informal language consisting of words and expressions that are not considered appropriate for formal occasions; often vituperative or vulgar",,,"a characteristic language of a particular group (as among thieves)",,,"use slang or vulgar language",,,"fool or hoax",,,"abuse with coarse language",,,,<!--,-->,,<!--,-->,HasContext
chaotic,"lacking a visible order or organization",,,"completely unordered and unpredictable and confusing",,,"of or relating to a sensitive dependence on initial conditions",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,disarray,"a mental state characterized by a lack of clear and orderly thought and behavior",,,"untidiness (especially of clothing and appearance)",,,"bring disorder to",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
helix,"a curve that lies on the surface of a cylinder or cone and cuts the element at a constant angle",,,"a structure consisting of something wound in a continuous series of loops",,,"type genus of the family Helicidae",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,perpendicular,"a straight line at right angles to another line",,,"a Gothic style in 14th and 15th century England; characterized by vertical lines and a four-centered (Tudor) arch and fan vaulting",,,"a cord from which a metal weight is suspended pointing directly to the earth's center of gravity; used to determine the vertical from a given point",,,"an extremely steep face",,,"intersecting at or forming right angles",,,"at right angles to the plane of the horizon or a base line",,,"extremely steep",,,RelatedTo
coasters,"a resident of a coastal area",,,"someone who coasts",,,"a covering (plate or mat) that protects the surface of a table (i.e., from the condensation on a cold glass or bottle)",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,drawer,"a boxlike container in a piece of furniture; made so as to slide in and out",,,"the person who writes a check or draft instructing the drawee to pay someone else",,,"an artist skilled at drawing",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,AtLocation
nettled,"sting with or as with nettles and cause a stinging pain or sensation",,,"cause annoyance in; disturb, especially by minor irritations",,,"aroused to impatience or anger",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,irritated,"cause annoyance in; disturb, especially by minor irritations",,,"excite to an abnormal condition, or chafe or inflame",,,"excite to some characteristic action or condition, such as motion, contraction, or nervous impulse, by the application of a stimulus",,,"aroused to impatience or anger",,,,<!--,-->,,<!--,-->,,<!--,-->,Synonym
puckered,"to gather something into small wrinkles or folds",,,"draw together into folds or puckers",,,"become wrinkled or drawn together",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,pucker,"an irregular fold in an otherwise even surface (as in cloth)",,,"to gather something into small wrinkles or folds",,,"draw together into folds or puckers",,,"become wrinkled or drawn together",,,,<!--,-->,,<!--,-->,,<!--,-->,FormOf
tall,"a garment size for a tall person",,,"great in vertical dimension; high in stature",,,"lofty in style",,,"impressively difficult",,,"too improbable to admit of belief",,,,<!--,-->,,<!--,-->,vertical,"something that is oriented vertically",,,"a vertical structural member as a post or stake",,,"at right angles to the plane of the horizon or a base line",,,"relating to or involving all stages of a business from production to distribution",,,"upright in position or posture",,,"of or relating to different levels in a hierarchy (as levels of social class or income group)",,,,<!--,-->,RelatedTo
guttural,"a consonant articulated in the back of the mouth or throat",,,"like the sounds of frogs and crows",,,"relating to or articulated in the throat",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,articulate,"provide with a joint",,,"put into words or an expression",,,"speak, pronounce, or utter in a certain way",,,"unite by forming a joint or joints",,,"express or state clearly",,,"expressing yourself easily or characterized by clear expressive language",,,"consisting of segments held together by joints",,,RelatedTo
modulus,"an integer that can be divided without remainder into the difference between two other integers",,,"the absolute value of a complex number",,,"(physics) a coefficient that expresses how much of a specified property is possessed by a specified substance",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,operator,"(mathematics) a symbol or function representing a mathematical operation",,,"an agent that operates some apparatus or machine",,,"someone who owns or operates a business",,,"a shrewd or unscrupulous person who knows how to circumvent difficulties",,,"a speculator who trades aggressively on stock or commodity markets",,,,<!--,-->,,<!--,-->,RelatedTo
suspension,"a mixture in which fine particles are suspended in a fluid where they are supported by buoyancy",,,"a time interval during which there is a temporary cessation of something",,,"temporary cessation or suspension",,,"an interruption in the intensity or amount of something",,,"a mechanical system of springs or shock absorbers connecting the wheels and axles to the chassis of a wheeled vehicle",,,"the act of suspending something (hanging it from above so it moves freely)",,,"a temporary debarment (from a privilege or position etc)",,,suspending,"hang freely",,,"cause to be held in suspension in a fluid",,,"bar temporarily; from school, office, etc.",,,"stop a process or a habit by imposing a freeze on it",,,"make inoperative or stop",,,"render temporarily ineffective",,,,<!--,-->,RelatedTo
hammered,"beat with or as if with a hammer",,,"create by hammering",,,"shaped or worked with a hammer and often showing hammer marks",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,slang,"informal language consisting of words and expressions that are not considered appropriate for formal occasions; often vituperative or vulgar",,,"a characteristic language of a particular group (as among thieves)",,,"use slang or vulgar language",,,"fool or hoax",,,"abuse with coarse language",,,,<!--,-->,,<!--,-->,HasContext
art,"the products of human creativity; works of art collectively",,,"the creation of beautiful or significant things",,,"a superior skill that you can learn by study and practice and observation",,,"photographs or other visual representations in a printed publication",,,,<!--,-->,,<!--,-->,,<!--,-->,includes,"have as a part, be made up out of",,,"consider as part of something",,,"add as part of something else; put in as part of a set, group, or category",,,"allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of",,,,<!--,-->,,<!--,-->,,<!--,-->,RelatedTo
degrading,"reduce the level of land, as by erosion",,,"reduce in worth or character, usually verbally",,,"lower the grade of something; reduce its worth",,,"harmful to the mind or morals",,,"used of conduct; characterized by dishonor",,,,<!--,-->,,<!--,-->,degrade,"reduce the level of land, as by erosion",,,"reduce in worth or character, usually verbally",,,"lower the grade of something; reduce its worth",,,,<!--,-->,,<!--,-->,,<!--,-->,,<!--,-->,FormOf
